,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
235,jppfs_cor:StatementOfChangesInEquityTable,株主資本等変動計算書 [表],Statement of changes in equity,Statement of changes in equity [table]
236,jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
237,jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
238,jppfs_cor:ShareholdersEquityMember,株主資本 [メンバー],Shareholders' equity,Shareholders' equity [member]
239,jppfs_cor:CapitalStockMember,資本金 [メンバー],Capital stock,Capital stock [member]
240,jppfs_cor:CapitalSurplusMember,資本剰余金 [メンバー],Capital surplus,Capital surplus [member]
241,jppfs_cor:LegalCapitalSurplusMember,資本準備金 [メンバー],Legal capital surplus,Legal capital surplus [member]
242,jppfs_cor:OtherCapitalSurplusMember,その他資本剰余金 [メンバー],Other capital surplus,Other capital surplus [member]
243,jppfs_cor:RetainedEarningsMember,利益剰余金 [メンバー],Retained earnings,Retained earnings [member]
244,jppfs_cor:LegalRetainedEarningsMember,利益準備金 [メンバー],Legal retained earnings,Legal retained earnings [member]
245,jppfs_cor:OtherRetainedEarningsMember,その他利益剰余金 [メンバー],Other retained earnings,Other retained earnings [member]
246,jppfs_cor:ReserveForDepreciationOfSpecifiedGasPipelineConstructionGASMember,特定ガス導管工事償却準備金、ガス事業 [メンバー],Reserve for depreciation of specified gas pipeline construction,Reserve for depreciation of specified gas pipeline construction-GAS [member]
247,jppfs_cor:ReserveForAdjustmentOfCostFluctuationsGASMember,原価変動調整積立金、ガス事業 [メンバー],Reserve for adjustment of cost fluctuations,Reserve for adjustment of cost fluctuations-GAS [member]
248,jppfs_cor:RetainedEarningsBroughtForwardMember,繰越利益剰余金 [メンバー],Retained earnings brought forward,Retained earnings brought forward [member]
249,jppfs_cor:TreasuryStockMember,自己株式 [メンバー],Treasury shares,Treasury shares [member]
250,jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
251,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
252,jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
253,jppfs_cor:RevaluationReserveForLandMember,土地再評価差額金 [メンバー],Revaluation reserve for land,Revaluation reserve for land [member]
254,jppfs_cor:ForeignCurrencyTranslationAdjustmentMember,為替換算調整勘定 [メンバー],Foreign currency translation adjustment,Foreign currency translation adjustment [member]
255,jppfs_cor:SubscriptionRightsToSharesMember,新株予約権 [メンバー],Share acquisition rights,Share acquisition rights [member]
256,jppfs_cor:NonControllingInterestsMember,非支配株主持分 [メンバー],Non-controlling interests,Non-controlling interests [member]
257,jppfs_cor:StatementOfChangesInEquityLineItems,株主資本等変動計算書 [表示項目],Statement of changes in equity,Statement of changes in equity [line items]
258,jppfs_cor:NetAssets,純資産,Net assets,Net assets
259,jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
260,jppfs_cor:IssuanceOfNewShares,新株の発行,Issuance of new shares,Issuance of new shares
261,jppfs_cor:DividendsFromSurplus,剰余金の配当,Dividends of surplus,Dividends of surplus
262,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
263,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
264,jppfs_cor:DisposalOfTreasuryStock,自己株式の処分,Disposal of treasury shares,Disposal of treasury shares
265,jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Net changes of items other than shareholders' equity,Net changes of items other than shareholders' equity
266,jppfs_cor:ReversalOfReserveForDepreciationOfSpecifiedGasPipelineConstructionGAS,特定ガス導管工事償却準備金の取崩、ガス事業,Reversal of reserve for depreciation of specified gas pipeline construction,Reversal of reserve for depreciation of specified gas pipeline construction-GAS
267,jppfs_cor:ProvisionOfReserveForAdjustmentOfCostFluctuationsGAS,原価変動調整積立金の積立、ガス事業,Provision of reserve for adjustment of cost fluctuations,Provision of reserve for adjustment of cost fluctuations-GAS
268,jppfs_cor:ReversalOfReserveForAdjustmentOfCostFluctuationsGAS,原価変動調整積立金の取崩、ガス事業,Reversal of reserve for adjustment of cost fluctuations,Reversal of reserve for adjustment of cost fluctuations-GAS
269,jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
270,nan,,,
271,nan,,,
272,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
273,jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
274,jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
275,jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
276,jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstract,営業活動によるキャッシュ・フロー [タイトル項目],Cash flows from operating activities,Cash flows from operating activities [abstract]
277,jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
278,jppfs_cor:IncreaseDecreaseInProvisionForGasHolderRepairsOpeCFGAS,ガスホルダー修繕引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、ガス事業,Increase (decrease) in provision for gas holder repairs,Increase (decrease) in provision for gas holder repairs-OpeCF-GAS
279,jppfs_cor:IncreaseDecreaseInProvisionForSafetyMeasuresOpeCFGAS,保安対策引当金の増減額（△は減少）、営業活動によるキャッシュ・フロー、ガス事業,Increase (decrease) in provision for safety measures,Increase (decrease) in provision for safety measures-OpeCF-GAS
280,jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
281,jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
